Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,3867,5046,253
c_benchmarks/clang-19595,2774,4374,156
c_benchmarks/clang-20680,8371,15009,534
c_benchmarks/clang-21467,5295,6181,177
c_benchmarks/clang-21582,8755,5252,589
c_benchmarks/clang-22337,5231,1720,242
c_benchmarks/clang-22382,3336,473,134
c_benchmarks/clang-22704,4089,2958,78
c_benchmarks/clang-23309,6283,1742,474
c_benchmarks/clang-23353,5193,1206,203
c_benchmarks/clang-25900,3681,1006,238
c_benchmarks/clang-26350,5636,5308,194
c_benchmarks/clang-26760,3022,1969,120
c_benchmarks/clang-27137,6738,8127,215
c_benchmarks/clang-27747,2639,1199,119
c_benchmarks/clang-31259,3675,2254,384
c_benchmarks/gcc-58731,3416,3143,249
c_benchmarks/gcc-59903,6246,3812,500
c_benchmarks/gcc-60116,7278,2389,443
c_benchmarks/gcc-60452,5869,1689,342
c_benchmarks/gcc-61047,2610,797,267
c_benchmarks/gcc-61383,5408,2475,297
c_benchmarks/gcc-61917,4575,1880,142
c_benchmarks/gcc-64990,4818,3456,239
c_benchmarks/gcc-65383,3139,1136,153
c_benchmarks/gcc-66186,4192,2736,327
c_benchmarks/gcc-66375,5082,3328,440
c_benchmarks/gcc-66412,6512,1795,350
c_benchmarks/gcc-66691,8045,3285,746
c_benchmarks/gcc-70127,3851,3358,301
c_benchmarks/gcc-70586,6126,6234,157
c_benchmarks/gcc-71626,742,46,51
