Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,22412,7732,510
c_benchmarks/clang-19595,13125,6098,336
c_benchmarks/clang-20680,149711,19586,1203
c_benchmarks/clang-21467,14452,8027,439
c_benchmarks/clang-21582,67450,7988,1273
c_benchmarks/clang-22337,14361,2116,322
c_benchmarks/clang-22382,11605,902,204
c_benchmarks/clang-22704,9809,6684,103
c_benchmarks/clang-23309,53870,5874,1059
c_benchmarks/clang-23353,12879,3401,189
c_benchmarks/clang-25900,15711,2319,500
c_benchmarks/clang-26350,53127,12263,604
c_benchmarks/clang-26760,15462,3914,342
c_benchmarks/clang-27137,35459,18383,678
c_benchmarks/clang-27747,15173,1484,352
c_benchmarks/clang-31259,19518,4281,624
c_benchmarks/gcc-58731,9595,4701,407
c_benchmarks/gcc-59903,17821,3619,761
c_benchmarks/gcc-60116,62804,5797,1264
c_benchmarks/gcc-60452,45685,3714,822
c_benchmarks/gcc-61047,14099,1589,572
c_benchmarks/gcc-61383,32003,4295,504
c_benchmarks/gcc-61917,12820,2816,293
c_benchmarks/gcc-64990,14418,8046,396
c_benchmarks/gcc-65383,18237,2422,265
c_benchmarks/gcc-66186,24943,7743,616
c_benchmarks/gcc-66375,24246,9472,813
c_benchmarks/gcc-66412,16531,2741,574
c_benchmarks/gcc-66691,25848,4006,994
c_benchmarks/gcc-70127,42765,16455,679
c_benchmarks/gcc-70586,47021,12340,927
c_benchmarks/gcc-71626,3668,148,53
