Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,3910,4949,266
c_benchmarks/clang-19595,2777,4283,156
c_benchmarks/clang-20680,10239,20033,533
c_benchmarks/clang-21467,4774,6208,158
c_benchmarks/clang-21582,8342,5488,559
c_benchmarks/clang-22337,5053,1667,316
c_benchmarks/clang-22382,3454,479,144
c_benchmarks/clang-22704,4115,2989,78
c_benchmarks/clang-23309,6374,1598,464
c_benchmarks/clang-23353,5198,1198,113
c_benchmarks/clang-25900,3661,1014,237
c_benchmarks/clang-26350,5741,5379,193
c_benchmarks/clang-26760,4419,2677,90
c_benchmarks/clang-27137,6636,7350,189
c_benchmarks/clang-27747,2650,1271,150
c_benchmarks/clang-31259,3669,2220,384
c_benchmarks/gcc-58731,3303,3435,242
c_benchmarks/gcc-59903,6024,3517,300
c_benchmarks/gcc-60116,6219,2150,428
c_benchmarks/gcc-60452,5908,1702,350
c_benchmarks/gcc-61047,2614,801,267
c_benchmarks/gcc-61383,4579,3106,272
c_benchmarks/gcc-61917,4536,1845,150
c_benchmarks/gcc-64990,4395,2836,239
c_benchmarks/gcc-65383,3063,1078,153
c_benchmarks/gcc-66186,4207,2707,327
c_benchmarks/gcc-66375,5052,3355,440
c_benchmarks/gcc-66412,6598,1841,350
c_benchmarks/gcc-66691,6932,3217,603
c_benchmarks/gcc-70127,3973,3446,301
c_benchmarks/gcc-70586,4549,4047,106
c_benchmarks/gcc-71626,744,45,51
