Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,3886,4846,266
c_benchmarks/clang-19595,2788,4362,156
c_benchmarks/clang-20680,12346,23158,522
c_benchmarks/clang-21467,4912,6102,177
c_benchmarks/clang-21582,8322,5505,558
c_benchmarks/clang-22337,5097,1564,270
c_benchmarks/clang-22382,3495,464,144
c_benchmarks/clang-22704,4184,2772,78
c_benchmarks/clang-23309,7237,1761,442
c_benchmarks/clang-23353,5048,1132,113
c_benchmarks/clang-25900,3513,1017,238
c_benchmarks/clang-26350,5794,5425,263
c_benchmarks/clang-26760,3051,2039,119
c_benchmarks/clang-27137,6412,7376,215
c_benchmarks/clang-27747,2982,1248,150
c_benchmarks/clang-31259,3739,2225,406
c_benchmarks/gcc-58731,2965,2733,227
c_benchmarks/gcc-59903,6240,3763,497
c_benchmarks/gcc-60116,6462,2173,437
c_benchmarks/gcc-60452,5872,1673,350
c_benchmarks/gcc-61047,2588,790,267
c_benchmarks/gcc-61383,4975,2715,271
c_benchmarks/gcc-61917,4532,1862,150
c_benchmarks/gcc-64990,5012,3544,239
c_benchmarks/gcc-65383,3128,1152,153
c_benchmarks/gcc-66186,4134,2606,327
c_benchmarks/gcc-66375,4984,3270,440
c_benchmarks/gcc-66412,5911,1794,350
c_benchmarks/gcc-66691,8071,3278,747
c_benchmarks/gcc-70127,3944,3408,301
c_benchmarks/gcc-70586,6364,6751,201
c_benchmarks/gcc-71626,740,45,51
