Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,18779,7262,509
c_benchmarks/clang-19595,11522,7082,329
c_benchmarks/clang-20680,20138,9755,394
c_benchmarks/clang-21467,15963,7542,432
c_benchmarks/clang-21582,54879,5834,1014
c_benchmarks/clang-22337,12267,2022,355
c_benchmarks/clang-22382,9848,811,212
c_benchmarks/clang-22704,9953,6911,99
c_benchmarks/clang-23309,37093,4980,1184
c_benchmarks/clang-23353,11762,3299,192
c_benchmarks/clang-25900,15861,2420,517
c_benchmarks/clang-26350,42807,12975,902
c_benchmarks/clang-26760,13058,3065,349
c_benchmarks/clang-27137,43711,21734,607
c_benchmarks/clang-27747,14864,1578,349
c_benchmarks/clang-31259,14566,3441,635
c_benchmarks/gcc-58731,9542,4439,424
c_benchmarks/gcc-59903,18666,3489,845
c_benchmarks/gcc-60116,35482,4224,1266
c_benchmarks/gcc-60452,35011,3343,1062
c_benchmarks/gcc-61047,14195,1641,568
c_benchmarks/gcc-61383,22901,3345,579
c_benchmarks/gcc-61917,12046,2807,370
c_benchmarks/gcc-64990,18211,8515,498
c_benchmarks/gcc-65383,15236,2286,286
c_benchmarks/gcc-66186,18475,6097,624
c_benchmarks/gcc-66375,18764,8080,824
c_benchmarks/gcc-66412,29827,3258,521
c_benchmarks/gcc-66691,27726,4228,924
c_benchmarks/gcc-70127,42526,17690,614
c_benchmarks/gcc-70586,50593,13868,925
c_benchmarks/gcc-71626,3518,145,53
