Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,15496,6981,550
c_benchmarks/clang-19595,11701,6244,325
c_benchmarks/clang-20680,14496,9458,296
c_benchmarks/clang-21467,16529,8803,370
c_benchmarks/clang-21582,46008,5863,1064
c_benchmarks/clang-22337,15343,2135,324
c_benchmarks/clang-22382,11460,865,202
c_benchmarks/clang-22704,10181,7113,114
c_benchmarks/clang-23309,32146,4724,1143
c_benchmarks/clang-23353,14622,3620,173
c_benchmarks/clang-25900,13653,2347,519
c_benchmarks/clang-26350,34690,11648,579
c_benchmarks/clang-26760,14382,3795,254
c_benchmarks/clang-27137,42476,19185,651
c_benchmarks/clang-27747,9643,1366,304
c_benchmarks/clang-31259,18681,4159,571
c_benchmarks/gcc-58731,12521,5299,438
c_benchmarks/gcc-59903,34484,4168,655
c_benchmarks/gcc-60116,87454,7867,1357
c_benchmarks/gcc-60452,44406,3398,527
c_benchmarks/gcc-61047,14237,1611,573
c_benchmarks/gcc-61383,20213,3179,560
c_benchmarks/gcc-61917,14029,2899,321
c_benchmarks/gcc-64990,23900,11780,896
c_benchmarks/gcc-65383,13091,2188,276
c_benchmarks/gcc-66186,18902,5671,549
c_benchmarks/gcc-66375,50497,17043,929
c_benchmarks/gcc-66412,24496,3139,894
c_benchmarks/gcc-66691,26571,3883,1069
c_benchmarks/gcc-70127,42358,18115,660
c_benchmarks/gcc-70586,75655,16866,948
c_benchmarks/gcc-71626,3658,149,53
