Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,3874,5044,253
c_benchmarks/clang-19595,2790,4339,156
c_benchmarks/clang-20680,6263,8367,546
c_benchmarks/clang-21467,4763,6134,158
c_benchmarks/clang-21582,12752,7116,865
c_benchmarks/clang-22337,5243,1733,253
c_benchmarks/clang-22382,3508,475,144
c_benchmarks/clang-22704,4204,2943,78
c_benchmarks/clang-23309,7210,1765,442
c_benchmarks/clang-23353,5132,1409,113
c_benchmarks/clang-25900,3734,1024,239
c_benchmarks/clang-26350,6017,5304,241
c_benchmarks/clang-26760,3071,1953,116
c_benchmarks/clang-27137,6866,7853,184
c_benchmarks/clang-27747,2928,1162,150
c_benchmarks/clang-31259,3676,2223,384
c_benchmarks/gcc-58731,3357,3467,242
c_benchmarks/gcc-59903,5303,3403,300
c_benchmarks/gcc-60116,5920,2071,396
c_benchmarks/gcc-60452,5851,1688,342
c_benchmarks/gcc-61047,2612,800,267
c_benchmarks/gcc-61383,4775,3097,274
c_benchmarks/gcc-61917,4726,1783,142
c_benchmarks/gcc-64990,5035,3548,239
c_benchmarks/gcc-65383,3122,1169,153
c_benchmarks/gcc-66186,4187,2722,327
c_benchmarks/gcc-66375,5039,3355,440
c_benchmarks/gcc-66412,6514,1807,350
c_benchmarks/gcc-66691,8069,3281,747
c_benchmarks/gcc-70127,3974,3438,301
c_benchmarks/gcc-70586,6275,6162,169
c_benchmarks/gcc-71626,746,44,51
